,Biodiversity Management,Collaborative Management,Environmental Stewardship,Funding & Equity,Kelp & Sovereignty,Marine Life,Puget Sound Ecology,Salish Fisheries,Tidal Green Energy,Tribal Rights & Culture,environmental impact,environmental policy,wetland restoration
Biodiversity Management,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.0,1.0
Collaborative Management,1.0,0.0,1.0,0.0,0.0,0.0,0.8,1.0,0.0,0.0,-1.0,1.0,0.0
Environmental Stewardship,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0
Funding & Equity,-1.0,0.0,-0.6,0.0,0.0,0.0,0.0,0.0,0.0,-0.6,0.0,0.0,1.0
Kelp & Sovereignty,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Marine Life,0.0,1.0,0.0,-0.6,1.0,0.0,0.0,1.0,-1.0,1.0,0.0,0.0,1.0
Puget Sound Ecology,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Salish Fisheries,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.8,0.0,0.0,0.0,0.75
Tidal Green Energy,0.0,0.8,0.0,1.0,-0.4,0.0,0.0,0.0,0.0,0.0,-0.2,1.0,-0.5
Tribal Rights & Culture,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
environmental impact,-1.0,0.0,-1.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0
environmental policy,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
wetland restoration,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
